K :  10
Iteration: 20 ; Train RMSE = 0.8897 ; Test RMSE = 0.9288
Iteration: 220 ; Train RMSE = 0.4675 ; Test RMSE = 0.5291
Iteration: 240 ; Train RMSE = 0.4642 ; Test RMSE = 0.5291
Iteration: 260 ; Train RMSE = 0.4604 ; Test RMSE = 0.5292
Iteration: 280 ; Train RMSE = 0.4560 ; Test RMSE = 0.5295
Iteration: 300 ; Train RMSE = 0.4508 ; Test RMSE = 0.5299
Iteration: 320 ; Train RMSE = 0.4445 ; Test RMSE = 0.5304
Iteration: 340 ; Train RMSE = 0.4374 ; Test RMSE = 0.5311
Iteration: 360 ; Train RMSE = 0.4294 ; Test RMSE = 0.5319
Iteration: 380 ; Train RMSE = 0.4205 ; Test RMSE = 0.5328
Iteration: 400 ; Train RMSE = 0.4110 ; Test RMSE = 0.5338
Iteration: 420 ; Train RMSE = 0.4012 ; Test RMSE = 0.5349
Iteration: 440 ; Train RMSE = 0.3912 ; Test RMSE = 0.5361
Iteration: 460 ; Train RMSE = 0.3813 ; Test RMSE = 0.5372
Iteration: 480 ; Train RMSE = 0.3716 ; Test RMSE = 0.5384
Iteration: 500 ; Train RMSE = 0.3621 ; Test RMSE = 0.5395
Iteration: 520 ; Train RMSE = 0.3531 ; Test RMSE = 0.5406
Iteration: 540 ; Train RMSE = 0.3443 ; Test RMSE = 0.5415
Iteration: 560 ; Train RMSE = 0.3359 ; Test RMSE = 0.5424
Iteration: 580 ; Train RMSE = 0.3278 ; Test RMSE = 0.5432
Iteration: 600 ; Train RMSE = 0.3200 ; Test RMSE = 0.5439


K :  50
Iteration: 20 ; Train RMSE = 0.8923 ; Test RMSE = 0.9286
Iteration: 40 ; Train RMSE = 0.7219 ; Test RMSE = 0.7677
Iteration: 60 ; Train RMSE = 0.6371 ; Test RMSE = 0.6843
Iteration: 80 ; Train RMSE = 0.5873 ; Test RMSE = 0.6352
Iteration: 100 ; Train RMSE = 0.5422 ; Test RMSE = 0.5935
Iteration: 120 ; Train RMSE = 0.5034 ; Test RMSE = 0.5572
Iteration: 140 ; Train RMSE = 0.4859 ; Test RMSE = 0.5397
Iteration: 160 ; Train RMSE = 0.4789 ; Test RMSE = 0.5333
Iteration: 180 ; Train RMSE = 0.4747 ; Test RMSE = 0.5307
Iteration: 200 ; Train RMSE = 0.4714 ; Test RMSE = 0.5295
Iteration: 220 ; Train RMSE = 0.4684 ; Test RMSE = 0.5290
Iteration: 240 ; Train RMSE = 0.4651 ; Test RMSE = 0.5289
Iteration: 260 ; Train RMSE = 0.4613 ; Test RMSE = 0.5291
Iteration: 280 ; Train RMSE = 0.4569 ; Test RMSE = 0.5294
Iteration: 300 ; Train RMSE = 0.4516 ; Test RMSE = 0.5298
Iteration: 320 ; Train RMSE = 0.4454 ; Test RMSE = 0.5303
Iteration: 340 ; Train RMSE = 0.4381 ; Test RMSE = 0.5310
Iteration: 360 ; Train RMSE = 0.4298 ; Test RMSE = 0.5318
Iteration: 380 ; Train RMSE = 0.4206 ; Test RMSE = 0.5327
Iteration: 400 ; Train RMSE = 0.4109 ; Test RMSE = 0.5337
Iteration: 420 ; Train RMSE = 0.4008 ; Test RMSE = 0.5347
Iteration: 440 ; Train RMSE = 0.3906 ; Test RMSE = 0.5359
Iteration: 460 ; Train RMSE = 0.3805 ; Test RMSE = 0.5370
Iteration: 480 ; Train RMSE = 0.3707 ; Test RMSE = 0.5381
Iteration: 500 ; Train RMSE = 0.3612 ; Test RMSE = 0.5390
Iteration: 520 ; Train RMSE = 0.3520 ; Test RMSE = 0.5399
Iteration: 540 ; Train RMSE = 0.3433 ; Test RMSE = 0.5407
Iteration: 560 ; Train RMSE = 0.3350 ; Test RMSE = 0.5415
Iteration: 580 ; Train RMSE = 0.3269 ; Test RMSE = 0.5421
Iteration: 600 ; Train RMSE = 0.3192 ; Test RMSE = 0.5427


K :  60
Iteration: 20 ; Train RMSE = 0.8924 ; Test RMSE = 0.9286
Iteration: 40 ; Train RMSE = 0.7222 ; Test RMSE = 0.7677
Iteration: 60 ; Train RMSE = 0.6378 ; Test RMSE = 0.6846
Iteration: 80 ; Train RMSE = 0.5894 ; Test RMSE = 0.6366
Iteration: 100 ; Train RMSE = 0.5466 ; Test RMSE = 0.5967
Iteration: 120 ; Train RMSE = 0.5067 ; Test RMSE = 0.5598
Iteration: 140 ; Train RMSE = 0.4875 ; Test RMSE = 0.5406
Iteration: 160 ; Train RMSE = 0.4800 ; Test RMSE = 0.5336
Iteration: 180 ; Train RMSE = 0.4758 ; Test RMSE = 0.5307
Iteration: 200 ; Train RMSE = 0.4726 ; Test RMSE = 0.5294
Iteration: 220 ; Train RMSE = 0.4698 ; Test RMSE = 0.5290
Iteration: 240 ; Train RMSE = 0.4668 ; Test RMSE = 0.5288
Iteration: 260 ; Train RMSE = 0.4634 ; Test RMSE = 0.5289
Iteration: 280 ; Train RMSE = 0.4594 ; Test RMSE = 0.5292
Iteration: 300 ; Train RMSE = 0.4546 ; Test RMSE = 0.5296
Iteration: 320 ; Train RMSE = 0.4488 ; Test RMSE = 0.5300
Iteration: 340 ; Train RMSE = 0.4419 ; Test RMSE = 0.5306
Iteration: 360 ; Train RMSE = 0.4340 ; Test RMSE = 0.5312
Iteration: 380 ; Train RMSE = 0.4251 ; Test RMSE = 0.5320
Iteration: 400 ; Train RMSE = 0.4154 ; Test RMSE = 0.5329
Iteration: 420 ; Train RMSE = 0.4052 ; Test RMSE = 0.5338
Iteration: 440 ; Train RMSE = 0.3948 ; Test RMSE = 0.5349
Iteration: 460 ; Train RMSE = 0.3843 ; Test RMSE = 0.5358
Iteration: 480 ; Train RMSE = 0.3741 ; Test RMSE = 0.5368
Iteration: 500 ; Train RMSE = 0.3642 ; Test RMSE = 0.5377
Iteration: 520 ; Train RMSE = 0.3547 ; Test RMSE = 0.5385
Iteration: 540 ; Train RMSE = 0.3457 ; Test RMSE = 0.5393
Iteration: 560 ; Train RMSE = 0.3370 ; Test RMSE = 0.5400
Iteration: 580 ; Train RMSE = 0.3288 ; Test RMSE = 0.5406
Iteration: 600 ; Train RMSE = 0.3210 ; Test RMSE = 0.5411


K :  70
Iteration: 20 ; Train RMSE = 0.8925 ; Test RMSE = 0.9286
Iteration: 40 ; Train RMSE = 0.7223 ; Test RMSE = 0.7676
Iteration: 60 ; Train RMSE = 0.6378 ; Test RMSE = 0.6844
Iteration: 80 ; Train RMSE = 0.5894 ; Test RMSE = 0.6363
Iteration: 100 ; Train RMSE = 0.5465 ; Test RMSE = 0.5963
Iteration: 120 ; Train RMSE = 0.5067 ; Test RMSE = 0.5594
Iteration: 140 ; Train RMSE = 0.4878 ; Test RMSE = 0.5403
Iteration: 160 ; Train RMSE = 0.4803 ; Test RMSE = 0.5333
Iteration: 180 ; Train RMSE = 0.4764 ; Test RMSE = 0.5304
Iteration: 200 ; Train RMSE = 0.4733 ; Test RMSE = 0.5292
Iteration: 220 ; Train RMSE = 0.4707 ; Test RMSE = 0.5287
Iteration: 240 ; Train RMSE = 0.4680 ; Test RMSE = 0.5285
Iteration: 260 ; Train RMSE = 0.4650 ; Test RMSE = 0.5287
Iteration: 280 ; Train RMSE = 0.4613 ; Test RMSE = 0.5288
Iteration: 300 ; Train RMSE = 0.4569 ; Test RMSE = 0.5291
Iteration: 320 ; Train RMSE = 0.4515 ; Test RMSE = 0.5295
Iteration: 340 ; Train RMSE = 0.4451 ; Test RMSE = 0.5300
Iteration: 360 ; Train RMSE = 0.4375 ; Test RMSE = 0.5305
Iteration: 380 ; Train RMSE = 0.4289 ; Test RMSE = 0.5312
Iteration: 400 ; Train RMSE = 0.4192 ; Test RMSE = 0.5319
Iteration: 420 ; Train RMSE = 0.4089 ; Test RMSE = 0.5328
Iteration: 440 ; Train RMSE = 0.3983 ; Test RMSE = 0.5337
Iteration: 460 ; Train RMSE = 0.3876 ; Test RMSE = 0.5346
Iteration: 480 ; Train RMSE = 0.3770 ; Test RMSE = 0.5355
Iteration: 500 ; Train RMSE = 0.3668 ; Test RMSE = 0.5364
Iteration: 520 ; Train RMSE = 0.3571 ; Test RMSE = 0.5371
Iteration: 540 ; Train RMSE = 0.3478 ; Test RMSE = 0.5378
Iteration: 560 ; Train RMSE = 0.3390 ; Test RMSE = 0.5385
Iteration: 580 ; Train RMSE = 0.3307 ; Test RMSE = 0.5390
Iteration: 600 ; Train RMSE = 0.3227 ; Test RMSE = 0.5395


K :  80
Iteration: 20 ; Train RMSE = 0.8926 ; Test RMSE = 0.9285
Iteration: 40 ; Train RMSE = 0.7225 ; Test RMSE = 0.7676
Iteration: 60 ; Train RMSE = 0.6383 ; Test RMSE = 0.6847
Iteration: 80 ; Train RMSE = 0.5911 ; Test RMSE = 0.6376
Iteration: 100 ; Train RMSE = 0.5506 ; Test RMSE = 0.5997
Iteration: 120 ; Train RMSE = 0.5102 ; Test RMSE = 0.5626
Iteration: 140 ; Train RMSE = 0.4889 ; Test RMSE = 0.5415
Iteration: 160 ; Train RMSE = 0.4810 ; Test RMSE = 0.5337
Iteration: 180 ; Train RMSE = 0.4769 ; Test RMSE = 0.5307
Iteration: 200 ; Train RMSE = 0.4740 ; Test RMSE = 0.5293
Iteration: 220 ; Train RMSE = 0.4715 ; Test RMSE = 0.5288
Iteration: 240 ; Train RMSE = 0.4689 ; Test RMSE = 0.5287
Iteration: 260 ; Train RMSE = 0.4661 ; Test RMSE = 0.5288
Iteration: 280 ; Train RMSE = 0.4627 ; Test RMSE = 0.5289
Iteration: 300 ; Train RMSE = 0.4587 ; Test RMSE = 0.5292
Iteration: 320 ; Train RMSE = 0.4538 ; Test RMSE = 0.5296
Iteration: 340 ; Train RMSE = 0.4479 ; Test RMSE = 0.5301
Iteration: 360 ; Train RMSE = 0.4408 ; Test RMSE = 0.5306
Iteration: 380 ; Train RMSE = 0.4327 ; Test RMSE = 0.5312
Iteration: 400 ; Train RMSE = 0.4235 ; Test RMSE = 0.5319
Iteration: 420 ; Train RMSE = 0.4136 ; Test RMSE = 0.5328
Iteration: 440 ; Train RMSE = 0.4032 ; Test RMSE = 0.5337
Iteration: 460 ; Train RMSE = 0.3926 ; Test RMSE = 0.5346
Iteration: 480 ; Train RMSE = 0.3820 ; Test RMSE = 0.5355
Iteration: 500 ; Train RMSE = 0.3717 ; Test RMSE = 0.5363
Iteration: 520 ; Train RMSE = 0.3618 ; Test RMSE = 0.5371
Iteration: 540 ; Train RMSE = 0.3523 ; Test RMSE = 0.5377
Iteration: 560 ; Train RMSE = 0.3433 ; Test RMSE = 0.5383
Iteration: 580 ; Train RMSE = 0.3348 ; Test RMSE = 0.5389
Iteration: 600 ; Train RMSE = 0.3267 ; Test RMSE = 0.5393


K :  90
Iteration: 20 ; Train RMSE = 0.8926 ; Test RMSE = 0.9286
Iteration: 40 ; Train RMSE = 0.7225 ; Test RMSE = 0.7676
Iteration: 60 ; Train RMSE = 0.6384 ; Test RMSE = 0.6847
Iteration: 80 ; Train RMSE = 0.5911 ; Test RMSE = 0.6374
Iteration: 100 ; Train RMSE = 0.5503 ; Test RMSE = 0.5992
Iteration: 120 ; Train RMSE = 0.5100 ; Test RMSE = 0.5621
Iteration: 140 ; Train RMSE = 0.4891 ; Test RMSE = 0.5413
Iteration: 160 ; Train RMSE = 0.4813 ; Test RMSE = 0.5336
Iteration: 180 ; Train RMSE = 0.4773 ; Test RMSE = 0.5306
Iteration: 200 ; Train RMSE = 0.4744 ; Test RMSE = 0.5292
Iteration: 220 ; Train RMSE = 0.4720 ; Test RMSE = 0.5287
Iteration: 240 ; Train RMSE = 0.4697 ; Test RMSE = 0.5286
Iteration: 260 ; Train RMSE = 0.4670 ; Test RMSE = 0.5286
Iteration: 280 ; Train RMSE = 0.4639 ; Test RMSE = 0.5288
Iteration: 300 ; Train RMSE = 0.4602 ; Test RMSE = 0.5291
Iteration: 320 ; Train RMSE = 0.4555 ; Test RMSE = 0.5294
Iteration: 340 ; Train RMSE = 0.4499 ; Test RMSE = 0.5298
Iteration: 360 ; Train RMSE = 0.4431 ; Test RMSE = 0.5302
Iteration: 380 ; Train RMSE = 0.4352 ; Test RMSE = 0.5308
Iteration: 400 ; Train RMSE = 0.4262 ; Test RMSE = 0.5314
Iteration: 420 ; Train RMSE = 0.4163 ; Test RMSE = 0.5321
Iteration: 440 ; Train RMSE = 0.4059 ; Test RMSE = 0.5329
Iteration: 460 ; Train RMSE = 0.3952 ; Test RMSE = 0.5338
Iteration: 480 ; Train RMSE = 0.3846 ; Test RMSE = 0.5347
Iteration: 500 ; Train RMSE = 0.3741 ; Test RMSE = 0.5356
Iteration: 520 ; Train RMSE = 0.3641 ; Test RMSE = 0.5364
Iteration: 540 ; Train RMSE = 0.3545 ; Test RMSE = 0.5371
Iteration: 560 ; Train RMSE = 0.3454 ; Test RMSE = 0.5378
Iteration: 580 ; Train RMSE = 0.3368 ; Test RMSE = 0.5383
Iteration: 600 ; Train RMSE = 0.3287 ; Test RMSE = 0.5388


K :  100
Iteration: 20 ; Train RMSE = 0.8926 ; Test RMSE = 0.9285
Iteration: 40 ; Train RMSE = 0.7226 ; Test RMSE = 0.7677
Iteration: 60 ; Train RMSE = 0.6388 ; Test RMSE = 0.6849
Iteration: 80 ; Train RMSE = 0.5926 ; Test RMSE = 0.6386
Iteration: 100 ; Train RMSE = 0.5544 ; Test RMSE = 0.6025
Iteration: 120 ; Train RMSE = 0.5140 ; Test RMSE = 0.5656
Iteration: 140 ; Train RMSE = 0.4905 ; Test RMSE = 0.5425
Iteration: 160 ; Train RMSE = 0.4817 ; Test RMSE = 0.5339
Iteration: 180 ; Train RMSE = 0.4775 ; Test RMSE = 0.5306
Iteration: 200 ; Train RMSE = 0.4748 ; Test RMSE = 0.5292
Iteration: 220 ; Train RMSE = 0.4723 ; Test RMSE = 0.5287
Iteration: 240 ; Train RMSE = 0.4700 ; Test RMSE = 0.5285
Iteration: 260 ; Train RMSE = 0.4674 ; Test RMSE = 0.5286
Iteration: 280 ; Train RMSE = 0.4644 ; Test RMSE = 0.5288
Iteration: 300 ; Train RMSE = 0.4608 ; Test RMSE = 0.5291
Iteration: 320 ; Train RMSE = 0.4563 ; Test RMSE = 0.5295
Iteration: 340 ; Train RMSE = 0.4508 ; Test RMSE = 0.5299
Iteration: 360 ; Train RMSE = 0.4443 ; Test RMSE = 0.5304
Iteration: 380 ; Train RMSE = 0.4365 ; Test RMSE = 0.5310
Iteration: 400 ; Train RMSE = 0.4277 ; Test RMSE = 0.5317
Iteration: 420 ; Train RMSE = 0.4180 ; Test RMSE = 0.5325
Iteration: 440 ; Train RMSE = 0.4077 ; Test RMSE = 0.5334
Iteration: 460 ; Train RMSE = 0.3971 ; Test RMSE = 0.5343
Iteration: 480 ; Train RMSE = 0.3864 ; Test RMSE = 0.5351
Iteration: 500 ; Train RMSE = 0.3759 ; Test RMSE = 0.5360
Iteration: 520 ; Train RMSE = 0.3658 ; Test RMSE = 0.5367
Iteration: 540 ; Train RMSE = 0.3561 ; Test RMSE = 0.5375
Iteration: 560 ; Train RMSE = 0.3470 ; Test RMSE = 0.5380
Iteration: 580 ; Train RMSE = 0.3383 ; Test RMSE = 0.5386
Iteration: 600 ; Train RMSE = 0.3301 ; Test RMSE = 0.5391


K :  110
Iteration: 20 ; Train RMSE = 0.8927 ; Test RMSE = 0.9286
Iteration: 40 ; Train RMSE = 0.7227 ; Test RMSE = 0.7677
Iteration: 60 ; Train RMSE = 0.6390 ; Test RMSE = 0.6850
Iteration: 80 ; Train RMSE = 0.5934 ; Test RMSE = 0.6391
Iteration: 100 ; Train RMSE = 0.5566 ; Test RMSE = 0.6042
Iteration: 120 ; Train RMSE = 0.5166 ; Test RMSE = 0.5679
Iteration: 140 ; Train RMSE = 0.4915 ; Test RMSE = 0.5435
Iteration: 160 ; Train RMSE = 0.4823 ; Test RMSE = 0.5342
Iteration: 180 ; Train RMSE = 0.4780 ; Test RMSE = 0.5307
Iteration: 200 ; Train RMSE = 0.4753 ; Test RMSE = 0.5293
Iteration: 220 ; Train RMSE = 0.4731 ; Test RMSE = 0.5287
Iteration: 240 ; Train RMSE = 0.4710 ; Test RMSE = 0.5285
Iteration: 260 ; Train RMSE = 0.4687 ; Test RMSE = 0.5286
Iteration: 280 ; Train RMSE = 0.4661 ; Test RMSE = 0.5287
Iteration: 300 ; Train RMSE = 0.4629 ; Test RMSE = 0.5290
Iteration: 320 ; Train RMSE = 0.4590 ; Test RMSE = 0.5294
Iteration: 340 ; Train RMSE = 0.4543 ; Test RMSE = 0.5297
Iteration: 360 ; Train RMSE = 0.4484 ; Test RMSE = 0.5301
Iteration: 380 ; Train RMSE = 0.4413 ; Test RMSE = 0.5306
Iteration: 400 ; Train RMSE = 0.4331 ; Test RMSE = 0.5312
Iteration: 420 ; Train RMSE = 0.4239 ; Test RMSE = 0.5319
Iteration: 440 ; Train RMSE = 0.4138 ; Test RMSE = 0.5326
Iteration: 460 ; Train RMSE = 0.4032 ; Test RMSE = 0.5335
Iteration: 480 ; Train RMSE = 0.3923 ; Test RMSE = 0.5344
Iteration: 500 ; Train RMSE = 0.3816 ; Test RMSE = 0.5352
Iteration: 520 ; Train RMSE = 0.3711 ; Test RMSE = 0.5361
Iteration: 540 ; Train RMSE = 0.3611 ; Test RMSE = 0.5369
Iteration: 560 ; Train RMSE = 0.3516 ; Test RMSE = 0.5375
Iteration: 580 ; Train RMSE = 0.3426 ; Test RMSE = 0.5382
Iteration: 600 ; Train RMSE = 0.3342 ; Test RMSE = 0.5387


K :  120
Iteration: 20 ; Train RMSE = 0.8927 ; Test RMSE = 0.9286
Iteration: 40 ; Train RMSE = 0.7228 ; Test RMSE = 0.7677
Iteration: 60 ; Train RMSE = 0.6393 ; Test RMSE = 0.6852
Iteration: 80 ; Train RMSE = 0.5944 ; Test RMSE = 0.6398
Iteration: 100 ; Train RMSE = 0.5596 ; Test RMSE = 0.6065
Iteration: 120 ; Train RMSE = 0.5205 ; Test RMSE = 0.5712
Iteration: 140 ; Train RMSE = 0.4932 ; Test RMSE = 0.5450
Iteration: 160 ; Train RMSE = 0.4828 ; Test RMSE = 0.5346
Iteration: 180 ; Train RMSE = 0.4784 ; Test RMSE = 0.5308
Iteration: 200 ; Train RMSE = 0.4756 ; Test RMSE = 0.5293
Iteration: 220 ; Train RMSE = 0.4733 ; Test RMSE = 0.5286
Iteration: 240 ; Train RMSE = 0.4713 ; Test RMSE = 0.5285
Iteration: 260 ; Train RMSE = 0.4691 ; Test RMSE = 0.5285
Iteration: 280 ; Train RMSE = 0.4665 ; Test RMSE = 0.5287
Iteration: 300 ; Train RMSE = 0.4633 ; Test RMSE = 0.5290
Iteration: 320 ; Train RMSE = 0.4596 ; Test RMSE = 0.5293
Iteration: 340 ; Train RMSE = 0.4548 ; Test RMSE = 0.5296
Iteration: 360 ; Train RMSE = 0.4491 ; Test RMSE = 0.5300
Iteration: 380 ; Train RMSE = 0.4422 ; Test RMSE = 0.5305
Iteration: 400 ; Train RMSE = 0.4342 ; Test RMSE = 0.5311
Iteration: 420 ; Train RMSE = 0.4250 ; Test RMSE = 0.5317
Iteration: 440 ; Train RMSE = 0.4150 ; Test RMSE = 0.5325
Iteration: 460 ; Train RMSE = 0.4045 ; Test RMSE = 0.5333
Iteration: 480 ; Train RMSE = 0.3937 ; Test RMSE = 0.5342
Iteration: 500 ; Train RMSE = 0.3830 ; Test RMSE = 0.5350
Iteration: 520 ; Train RMSE = 0.3726 ; Test RMSE = 0.5359
Iteration: 540 ; Train RMSE = 0.3626 ; Test RMSE = 0.5367
Iteration: 560 ; Train RMSE = 0.3532 ; Test RMSE = 0.5373
Iteration: 580 ; Train RMSE = 0.3442 ; Test RMSE = 0.5380
Iteration: 600 ; Train RMSE = 0.3358 ; Test RMSE = 0.5385


K :  130
Iteration: 20 ; Train RMSE = 0.8928 ; Test RMSE = 0.9286
Iteration: 40 ; Train RMSE = 0.7229 ; Test RMSE = 0.7677
Iteration: 60 ; Train RMSE = 0.6395 ; Test RMSE = 0.6853
Iteration: 80 ; Train RMSE = 0.5952 ; Test RMSE = 0.6404
